epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.6286,5.61679,4.2005,1.92591,0,0,0,0,3.09532,3.9354,1.22202,0,0,0
2,2.78827,4.51378,3.98299,1.7744,0,0,0,0,3.05635,3.93333,1.21032,1.63399e-05,1.63399e-05,1.63399e-05
3,13.7445,5.64433,4.1397,1.74478,0,0,0,0,3.01425,3.93039,1.1972,3.20197e-05,3.20197e-05,3.20197e-05
4,14.925,5.8799,4.26383,1.69721,0,0,0,0,2.9468,3.92638,1.17283,4.70394e-05,4.70394e-05,4.70394e-05
5,17.4603,5.31769,3.98494,1.74196,0,0,0,0,2.86848,3.92146,1.14091,6.13989e-05,6.13989e-05,6.13989e-05
6,18.5198,5.06847,3.95719,1.58351,0,0,0,0,2.82054,3.91058,1.11248,7.50984e-05,7.50984e-05,7.50984e-05
7,19.431,3.61958,3.8714,1.48306,0.00701,0.0056,0.00354,0.00106,2.81835,3.88246,1.09314,8.81376e-05,8.81376e-05,8.81376e-05
8,20.4595,3.67375,3.86861,1.60101,0.02103,0.01679,0.01092,0.00264,2.85529,3.84839,1.0666,0.000100517,0.000100517,0.000100517
9,21.574,3.56888,3.85692,1.50125,0.04146,0.03172,0.02205,0.00624,2.92732,3.81507,1.0548,0.000112236,0.000112236,0.000112236
10,24.4801,3.41996,3.80474,1.45058,0.05213,0.04104,0.02821,0.01038,3.03289,3.78676,1.04947,0.000123295,0.000123295,0.000123295
11,28.3409,2.88023,3.66011,1.28993,0.05224,0.03918,0.02833,0.01096,3.10116,3.76199,1.03608,0.000133693,0.000133693,0.000133693
12,31.9936,4.01069,3.652,1.30437,0.05528,0.04104,0.02993,0.01054,3.17745,3.73039,1.02909,0.000143432,0.000143432,0.000143432
13,32.9217,3.80312,3.56021,1.26669,0.05759,0.04104,0.03124,0.01042,3.26472,3.70054,1.02435,0.00015251,0.00015251,0.00015251
14,33.6433,2.5234,3.43521,1.14216,0.04645,0.03172,0.02478,0.00759,3.16229,3.68061,1.00557,0.000160929,0.000160929,0.000160929
15,35.0564,3.49164,3.44349,1.17063,0.02121,0.01306,0.01089,0.00356,3.01782,3.67018,0.99025,0.000168687,0.000168687,0.000168687
16,35.8796,2.60105,3.28813,1.0544,0,0,0,0,2.80579,3.66,0.97046,0.000175785,0.000175785,0.000175785
